"","1","2","3"
"265",0.999997112329496,1.44383525180283e-06,1.44383525180284e-06
"266",0.999997891131387,1.05443430653985e-06,1.05443430653987e-06
"267",0.999997704787218,1.14760639075748e-06,1.14760639075749e-06
"268",0.999992928644108,3.53567794609828e-06,3.53567794605009e-06
"269",0.99999993217543,3.39122851285929e-08,3.39122847079682e-08
"270",0.99999998280377,8.59811523061215e-09,8.59811522980009e-09
"271",0.9999999645233,1.77383498401098e-08,1.7738349840107e-08
"272",0.999999851137471,7.44312642755941e-08,7.44312642755929e-08
"273",0.999999990418065,4.79096774172685e-09,4.79096774172702e-09
"274",0.999999953220229,2.33898856554582e-08,2.33898856554578e-08
"275",0.999996530762274,1.73461886321076e-06,1.73461886321078e-06
"276",0.999999992784612,3.60769399928192e-09,3.60769399928246e-09
"277",0.999996914039533,1.54298023347054e-06,1.54298023347053e-06
"278",0.999999999889196,5.54021221545134e-11,5.5402122154582e-11
"279",0.999999785904482,1.0704775921908e-07,1.07047759219085e-07
"280",0.999999600758309,1.99620845642275e-07,1.99620845642279e-07
"281",0.999999935657199,3.21714003089385e-08,3.2171400308939e-08
"282",0.999999999943116,2.84419560224147e-11,2.84419560224356e-11
"283",0.999999364242739,3.17878630695934e-07,3.17878630695929e-07
"284",0.999999405205878,2.9739706089415e-07,2.9739706089415e-07
"285",0.999998902103419,5.48948290333165e-07,5.48948290333167e-07
"286",0.999999908938663,4.55306683447918e-08,4.55306683447932e-08
"287",0.999999106855367,4.46572316469631e-07,4.46572316469634e-07
"288",0.999999427539819,2.86230090546809e-07,2.86230090546813e-07
"289",0.999999993160224,3.41988820901824e-09,3.41988820901886e-09
"290",0.999999906578766,4.67106167568996e-08,4.67106167569029e-08
"291",0.999998794767723,6.02616138607133e-07,6.02616138607135e-07
"292",0.999999010019918,4.94990041101541e-07,4.94990041101547e-07
"293",0.999997789928958,1.10503552095923e-06,1.10503552095923e-06
"294",0.99999991356714,4.32164297459126e-08,4.32164297459144e-08
"295",0.999996627528617,1.68623569170148e-06,1.6862356917015e-06
"296",0.999999707411606,1.46294196765332e-07,1.46294196765299e-07
"297",0.999999911621746,4.41891272242712e-08,4.41891272242717e-08
"298",0.999999940693021,2.96534893844826e-08,2.96534893844834e-08
"299",0.999999755081854,1.22459072840382e-07,1.22459072840376e-07
"300",0.999999641910535,1.79044732564696e-07,1.79044732564699e-07
"301",0.99999987795307,6.10234651635344e-08,6.10234651635361e-08
"302",0.999999946575313,2.67123436858258e-08,2.67123436858267e-08
"303",0.999999998744366,6.27816992208514e-10,6.27816992208653e-10
"304",0.999999523128696,2.38435652061263e-07,2.38435652061265e-07
"305",0.999999603949592,1.98025203919153e-07,1.98025203919155e-07
"306",0.999999720771366,1.39614316894677e-07,1.39614316894678e-07
"307",0.999999943260407,2.83697965502736e-08,2.83697965502751e-08
"308",0.999999985916297,7.04185157006735e-09,7.04185157006781e-09
"309",0.999999408847282,2.9557635912097e-07,2.95576359120973e-07
"310",0.999999887210253,5.63948732821758e-08,5.63948732821764e-08
"311",0.99999958263485,2.0868257491056e-07,2.08682574910564e-07
"312",0.999998339831114,8.30084443276025e-07,8.30084443276029e-07
"313",0.999998017412542,9.91293729003767e-07,9.91293729003764e-07
"314",0.999996776747039,1.6116264803122e-06,1.61162648031221e-06
"315",0.999999653605755,1.73197122229068e-07,1.73197122229072e-07
"316",0.999999979913269,1.00433652589722e-08,1.00433652589725e-08
"317",0.999999988808934,5.5955328147183e-09,5.59553281471858e-09
"318",0.999999187977539,4.06011230371256e-07,4.06011230368366e-07
"319",0.999998916753871,5.41623064495171e-07,5.41623064495135e-07
"320",0.999997562692552,1.21865372398898e-06,1.21865372398897e-06
"321",0.999994041026303,2.9794868485617e-06,2.97948684856161e-06
"322",0.999989911720417,5.04414135169798e-06,5.04413823117208e-06
"323",0.999998640503504,6.79819327251731e-07,6.79677168756098e-07
"324",0.99999785736402,1.07132171909494e-06,1.07131426111293e-06
"325",0.999999961672989,1.91635057162748e-08,1.91635055726831e-08
"326",0.999991238627929,4.3806863241316e-06,4.38068574668681e-06
"327",0.999999080662387,4.5966883669115e-07,4.59668776559474e-07
"328",0.998879484901059,0.00107864148508154,4.18736138591585e-05
"329",0.999997154896207,2.4771068390036e-06,3.67996953513315e-07
"330",0.999995144138506,2.54236419466555e-06,2.31349729936111e-06
"331",0.999995190771889,2.52178379357713e-06,2.28744431784374e-06
"332",0.999998602338591,6.98832162988494e-07,6.98829246415759e-07
"333",0.99999619644889,1.90177556798656e-06,1.90177554218926e-06
"334",0.999994575346844,2.71232657942407e-06,2.71232657690059e-06
"335",0.999999976542261,1.17288697286364e-08,1.17288697285809e-08
"336",0.999999816811751,9.15941244341162e-08,9.15941244303061e-08
"337",0.999999985587201,7.20639937024186e-09,7.20639937021926e-09
"338",0.999997417793296,1.29110336097845e-06,1.29110334272538e-06
"339",0.999993521784605,3.23910769791524e-06,3.23910769748862e-06
"340",0.999999999036716,4.81642006357139e-10,4.81642006356591e-10
"341",0.999996713663599,1.64316820060385e-06,1.64316820009735e-06
"342",0.999999492288096,2.53855951765489e-07,2.53855951764311e-07
"343",0.99999968273327,1.58633365228174e-07,1.58633365228134e-07
"344",0.999999736870969,1.31570209093974e-07,1.31558821759827e-07
"345",0.999995360466454,2.31976686854863e-06,2.31976667743385e-06
"346",0.999998444778551,7.77610726426465e-07,7.77610722239188e-07
"347",0.9999974057411,1.29712944994836e-06,1.29712944980607e-06
"348",0.999996749291205,1.62535439735492e-06,1.62535439735233e-06
"349",0.999997411528545,1.29423572743796e-06,1.29423572742546e-06
"350",0.999999546430808,2.26784622983829e-07,2.26784568923737e-07
"351",0.999999703459803,1.48270098739748e-07,1.48270098509006e-07
"352",0.99999040115336,4.79942331977678e-06,4.79942331975771e-06
"353",0.999999994289644,2.85517794051381e-09,2.85517794051427e-09
"354",0.999999094112934,4.52943533179771e-07,4.52943533169091e-07
"355",0.999994250070948,2.87496452598114e-06,2.87496452597969e-06
"356",0.999995293438861,2.35328057188791e-06,2.35328056755393e-06
"357",0.999999776799106,1.11600446988058e-07,1.1160044698751e-07
"358",0.999999970871187,1.45644066965126e-08,1.45644066965018e-08
"359",0.999997828492873,1.08575356344485e-06,1.0857535634258e-06
"360",0.999998791330788,6.04334605989425e-07,6.04334605988668e-07
"361",0.999999667518353,1.6624082346237e-07,1.66240823462371e-07
"362",0.999975766311279,1.21186193292093e-05,1.21150693920721e-05
"363",0.997630622240593,0.00226594388695994,0.00010343387244746
"364",0.99994308909657,5.06493274741798e-05,6.26157595588241e-06
"365",0.999997922764028,1.14214506255424e-06,9.35090909050814e-07
"366",0.999998351453572,8.30922359372558e-07,8.17624068577436e-07
"367",0.999993222134492,3.56658779079479e-06,3.21127771756947e-06
"368",0.999969930142427,1.72905827168166e-05,1.27792748564683e-05
"369",0.999979927576758,1.00579492655651e-05,1.0014473976102e-05
"370",0.999947308194039,3.14428987495853e-05,2.12489072111345e-05
"371",0.999656229408976,0.000162379610461274,0.000181390980562645
"372",0.999972549314,1.34470768658629e-06,2.61059783133703e-05
"373",0.998596710266266,3.27533360915763e-05,0.00137053639764283
"374",0.999937212300842,3.06719560542459e-06,5.97205035523288e-05
"375",0.999999262819658,3.19862228127986e-07,4.17318114240102e-07
"376",0.999996639188622,8.39002225562776e-07,2.52180915270304e-06
"377",0.999994550404362,2.6953127601462e-06,2.75428287814169e-06
