"","M","B","A"
"274",0.629188450916724,0.196719872329032,0.174091676754244
"275",0.591487172536334,0.196295859923979,0.212216967539686
"276",2.83118520595668e-05,0.99970906282562,0.000262625322319968
"277",0.263143691180015,0.536250148376077,0.200606160443908
"278",2.05052593506448e-07,0.999995633816477,4.16113092937297e-06
"279",0.871525334228556,0.0117737377366141,0.116700928034829
"280",0.595211950234702,0.258963402797548,0.14582464696775
"281",0.0467843717211361,0.887508644729035,0.0657069835498292
"282",1.33847670357734e-06,0.999977841221687,2.0820301609013e-05
"283",0.884942997060225,0.00547205798946096,0.109584944950314
"284",0.9339745915203,0.000942227421027967,0.0650831810586715
"285",0.947066539593289,0.000896517671794674,0.0520369427349162
"286",0.992969873068965,9.76143295754515e-06,0.00702036549807765
"287",0.971955189041265,0.000423815661745386,0.0276209952969899
"288",0.791112050083347,0.0906995798818647,0.118188370034788
"289",0.999940631007707,6.2798635802903e-09,5.93627124299228e-05
"290",0.944855407317779,0.000495588744443342,0.0546490039377775
"291",0.946735263853115,0.00116388624048109,0.0521008499064043
"292",0.990786854607622,0.000174755747762353,0.00903838964461611
"293",0.975560969901123,0.00104450271810908,0.0233945273807677
"294",0.993624757400975,8.16887223557439e-06,0.00636707372678962
"295",0.945274429007691,0.00278862631198586,0.0519369446803233
"296",0.928040852960876,0.00034228067055828,0.0716168663685662
"297",0.940228559096499,0.000195618334849726,0.0595758225686509
"298",0.950576056974574,0.000380224178429937,0.0490437188469963
"299",0.953582406379382,0.000216792321938908,0.0462008012986788
"300",0.988976879859166,0.000108692031198232,0.0109144281096361
"301",0.989283659056368,2.17199460131683e-05,0.0106946209976187
"302",0.993820317001501,4.4461216487943e-06,0.00617523687684983
"303",0.999910575003463,1.65063779020386e-09,8.94233458995126e-05
"304",0.963891053741333,0.000337514884981758,0.0357714313736848
"305",0.971923664389287,0.000213860311137187,0.0278624752995756
"306",0.975099888891873,0.000102053474580336,0.0247980576335471
"307",0.987737910665006,9.94692449829388e-06,0.0122521424104962
"308",0.989370305062317,1.64465672671629e-06,0.0106280502809565
"309",0.981289804180981,0.000204798535274062,0.0185053972837447
"310",0.986054525284833,2.09259354174289e-05,0.0139245487797496
"311",0.941945402127883,0.00628887642761653,0.0517657214445
"312",0.914997920799366,0.0249995662206677,0.0600025129799659
"313",0.943235188119383,0.00195168968221443,0.0548131221984021
"314",0.973204587040633,0.00164895799914791,0.0251464549602189
"315",0.995849288268397,2.9953060685779e-05,0.00412075867091744
"316",0.996129939316902,1.05711085528357e-06,0.00386900357224271
"317",0.996456549618292,4.72911244019419e-07,0.00354297747046382
"318",0.920380354512729,0.00592436832269707,0.0736952771645744
"319",0.906739799937092,0.0168163667413194,0.0764438333215885
"320",0.860404694819181,0.0470656644732009,0.0925296407076181
"321",0.939748116622354,0.00610877383637675,0.0541431095412691
"322",0.60124681577035,0.10677019861592,0.29198298561373
"323",0.490167395645467,0.0534037389097334,0.456428865444799
"324",0.718681526063401,0.0187249024701278,0.262593571466471
"325",0.99963767625261,2.02695419276233e-07,0.000362121051970499
"326",0.82782984672088,0.0213924307471488,0.150777722531971
