Species	Code	AN	18s	28s	H3	wnt-1	H2A	Family	Subfamily	Complete_genome
Arria_pallida	Arrpal	NC_051892.1	na	na	na	na	na	Haaniidae	Haaniinae	x
Arria_pallida_2	Arrpal2	OM202563.1	na	na	na	na	na	Haaniidae	Haaniinae	x
Theopompa_sp.	Thespe	KU201314.1	na	na	na	na	na	Gonypetidae	Gonypetinae	x
Pliacanthopus_bimaculatus	Plibim	NC_051490.1	na	na	na	na	na	Nanomantidae	Tropidomantinae	x
Bolivaria_brachyptera	Bolbra	OZ336339.1	OP856559.1	OP881377.1	OP831557.1	na	na	Mantidae	Miomantinae	ASSEMBLY
Yersinia_mexicana	Yermex	MW357303.1	na	na	na	na	na	Amelidae	Amelinae	x
Galinthias_amoena	Galamo	NC_077478.1	EF383619.1	EF383785.1	 EF384195.1	FJ803132.1	na	Hymenopodidae	Hymenopodinae	x
Asiadodis_yunnanensis	Asiyun	MW357297.1	na	na	na	na	na	Mantidae	Choeradodinae	x
Hierodulella_sp.	Hiedul	KY689136.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Pseudovates_peruviana	Pseper	MW357301.1	na	na	na	na	na	Mantidae	Vatinae	PARTIAL
Stagmatoptera_biocellata	Stabio	MW357302.1	na	na	na	na	na	Mantidae	Stagmatopterinae	x
Mekongomantis_quinquespinosa	Mekqui	MN267041.1	OP856573.1	OP881391.1	OP831571.1	na	na	Mantidae	Hierodulinae	UNVERIFIED
Rhombodera_latipronotum	Rholat	KX091864.1	OP856575.1	OP881393.1	OP831573.1	na	na	Mantidae	Hierodulinae	PARTIAL
Creobroter_elongata	Creelo	KX091851.1	KR360561.1	KR360594.1	na	KR360716.1	na	Hymenopodidae	Hymenopodinae	x
Parablepharis_kuhlii	Parkuh	KY689117.1	na	na	na	na	na	Hymenopodidae	Phyllothelyinae	x
Phyllothelys_breve	Phybre	NC_086622.1	??				na	Hymenopodidae	Phyllothelyinae	x
Phyllothelys_breve_2	Phybre2	MT024239.1	??				na	Hymenopodidae	Phyllothelyinae	x
Raptrix_fusca	Rapfus	NC_077477.1	FJ806378.1	FJ806577.1	FJ806741.1	na	na	Acanthopidae	Acontiothespinae	x
Leptomantella_sp.	Lepspe	OM202571.1	FJ806489.1	FJ806620.1	EF384115.1	FJ803066.1	na	Leptomantellidae	na	x
Creobroter_sp.	Crespe	MW222469.1	FJ806370.1	FJ806569.1	FJ806734.1	FJ803001.1	na	Hymenopodidae	Hymenopodinae	x
Panurgica_fratercula	Panfra	PP438770.1	EF383595.1	EF383761.1	EF384172.1	FJ803082.1	na	Hymenopodidae	Hymenopodinae	UNVERIFIED
Ceratocrania_macra	Cermac	PP438765.1	FJ806495.1	FJ806697.1	FJ806854.1	na	na	Hymenopodidae	Phyllothelyinae	UNVERIFIED
Otomantis_scutigera	Otoscu	NC_086621.1	FJ806398.1	FJ806597.1	FJ806761.1	FJ803046.1	KR360638.1	Hymenopodidae	Acromantinae	x
Tenodera_aridifolia_brevicollis	Tenaribre	OK542393.1	na	na	na	na	na	Mantidae	Tenoderinae	x
Hierodula_sp._2	Hiespe2	MW357298.1	FJ806510.1	FJ806713.1	GU064763.1	FJ803171.1	na	Mantidae	Hierodulinae	x
Hierodula_sp.	Hiespe	OL414959.1	FJ806510.1	FJ806713.1	GU064763.1	FJ803171.1	na	Mantidae	Hierodulinae	x
Majangella_moultoni	Majmou	PP072306.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Cheddikulama_straminea	Chestr	NC_077479.1	na	na	na	na	na	Toxoderidae	Toxoderinae	x
Carrikerella_sp.	Carspe	OM910846.1	KU320395.1	KU320498.1	EF384133.1	KU508041.1	KU507739.1	Thespidae	Oligonicinae	x
Amorphoscelis_hainana	Amohai	NC_057070.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Pseudacanthops_lobipes	Pselob	PV564197.1	na	na	na	na	na	Acanthopidae	Acanthopinae	x
Chlidonoptera_lestoni	Chlles	PP438767.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Ceratomantis_yunnanensis	Ceryun	PP438766.1	na	na	na	na	na	Hymenopodidae	Oxypilinae	UNVERIFIED
Astyliasula_major	Astmaj	NC_086830.1	na	na	na	na	na	Hymenopodidae	Oxypilinae	x
Astyliasula_basinigra	Astbas	PP438763.1	na	na	na	na	na	Hymenopodidae	Oxypilinae	UNVERIFIED
Theopompa_maculosa	Themac	NC_086832.1	na	na	na	na	na	Gonypetidae	Gonypetinae	x
Gonypeta_brunneri	Gonbru	NC_086831.1	na	na	na	na	na	Gonypetidae	Gonypetinae	x
Arria_pura	Arrpur	NC_086829.1	na	na	na	na	na	Haaniidae	Haaniinae	x
Arria_brevifrons	Arrbre	NC_086828.1	na	na	na	na	na	Haaniidae	Haaniinae	x
Theopompa_ophthalmica	Theoph	NC_086827.1	na	na	na	na	na	Gonypetidae	Gonypetinae	x
Anaxarcha_tianmushanensis	Anatia	NC_086826.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Phyllothelys_sinensis	Physin	NC_086824.1	na	na	na	na	na	Hymenopodidae	Phyllothelyinae	x
Theopropus_sinecus	Thesin	NC_086823.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Amantis_wuzhishana	Amawuz	NC_086818.1	na	na	na	na	na	Gonypetidae	Iridopteryginae	x
Tenodera_sp.	Tenspe	OM202552.1	na	na	na	na	na	Mantidae	Tenoderinae	PARTIAL
Gonypeta_sp.	Gonspe	OM177664.1	na	na	na	na	na	Gonypetidae	Gonypetinae	x
Acromantis_japonica	Acrjap	NC_085562.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Theopropus_sp.	Thespe	OM202564.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Miromantis_sp.	Mirspe	OM202562.1	na	na	na	na	na	Nanomantidae	Tropidomantinae	x
Sinomiopteryx_sp.	Sinspe	OM202561.1	na	na	na	na	na	Thespidae	Pseudomiopteriginae	x
Anaxarcha_graminea	Anagra	OM202555.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Anaxarcha_sp.	Anaspe	OM202554.1	na	na	na	na	na	Hymenopodidae	Acromantinae	x
Callibia_diana	Caldia	NC_077476.1	KU320390.1	KU320493.1	KU507837.1	na	na	Acanthopidae	Acontistinae	x
Haania_vitalisi	Haavit	KX434845.1	na	na	na	na	na	Haaniidae	Haaniinae	PARTIAL
Metallyticus_sp.	Metspe	KX434871.1	na	na	na	na	na	Metallyticidae	na	x
Parymenopus_davisoni	Pardav	KX434870.1	na	na	na	na	na	Hymenopodidae	Hymenopodinae	x
Hierodula_longa	Hielon	OK542392.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Phyllothelys_shaanxiense	Physha	KX091863.1	na	na	na	na	na	Hymenopodidae	Phyllothelyinae	x
Mantis_religiosa	Manrel	NC_030265.1	AY859586.1	EF383633 .1	FJ806794.1	FJ802922.1	na	Mantidae	Mantinae	x
Hierodula_patellifera	Hiepat	NC_034283.1	na	na	na	na	na	Mantidae	Hierodulinae	x
Sphodromantis_lineola	Sphlin	NC_037204.1	EF383480.1	EF383642.1	GU064762.1	FJ802935.1	na	Mantidae	Tenoderinae	x
Statilia_maculata	Stamac	NC_065760.1	FJ806513.1	FJ806717.1	EF384084.1	na	na	Mantidae	Mantinae	x
Leptomantella_tonkinae	Lepton	OK480879.1	na	na	na	na	na	Leptomantellidae	na	x
