181 7	(A B C D E F G)
Sibylla_pretiosa	0001000
Sinomantis_denticulata	0010010
Sinomiopteryx_grahami	0010000
Sinomiopteryx_guangxiensis	0010010
Sinomiopteryx_sp.	0010010
Sphodromantis_lineola	0001000
Sphodromantis_viridis	0011000
Spilomantis_occipitalis	0010010
Spilomantis_occipitalis_2	0010010
Stagmatoptera_biocellata	0100000
Statilia_agresta	0010000
Statilia_flavobrunnea	0010010
Statilia_maculata	1010010
Statilia_sp.	1010011
Statilia_sp._2	1010011
Stenotoxodera_porioni	0000010
Tamolanica_tamolana	0000001
Tarachomantis_alaotrana	0000100
Taumantis_sigiana	0001000
Tenodera_angustipennis	1010000
Tenodera_aridifolia_brevicollis	0010000
Tenodera_sinensis	1010011
Tenodera_sp.	1011011
Theopompa_maculosa	0010000
Theopompa_milligratulata	0000010
Theopompa_ophthalmica	0010010
Theopompa_sp.	0010010
Theopropus_cattulus	0010010
Theopropus_elegans	0000010
Theopropus_rubrobrunneus	0000010
Theopropus_sinecus	0010010
Theopropus_sp.	0010010
Toxodera_hauseri	0000010
Tropidomantis_tenera	0000110
Yersinia_mexicana	1000000
