Code	AN	Family	Subfamily
Hielon	OK542392.1	Mantidae	Hierodulinae
Physha	KX091863.1	Hymenopodidae	Phyllothelyinae
Manrel	NC_030265.1	Mantidae	Mantinae
Hiepat	NC_034283.1	Mantidae	Hierodulinae
Sphlin	NC_037204.1	Mantidae	Tenoderinae
Stamac	NC_065760.1	Mantidae	Mantinae
Lepton	OK480879.1	Leptomantellidae	na
Pargig	MG888457.1	Toxoderidae	Toxoderinae
Ambpar	MG888436.1	Hymenopodidae	Acromantinae
Amospe	MG888437.1	Amorphoscelidae	Amorphoscelinae
Hymcor	MG888449.1	Hymenopodidae	Hymenopodinae
Leplac	MG888453.1	Leptomantellidae	na
Metspl	MG888455.1	Metallyticidae	na
Parkuhasi	MG888456.1	Hymenopodidae	Phyllothelyinae
Singua	MG888464.1	Haaniidae	Haaniinae
Ameand	AA001	Amelidae	na
Ameser	AA003	Amelidae	na
Amespa	AA005	Amelidae	na
Ameass	43assoi	Amelidae	na
Psebet	16CI1f	Amelidae	na
Amepic	41K26	Amelidae	na
Amedum	59T3	Amelidae	na
Amespa2	23spal	Amelidae	na
Amedec	ADEC02	Amelidae	na
Rivbae	RBE05	Rivetinidae	na
Aptapt	AAP07	Amelidae	na
Retsan	NC_009499.1	Termitoidae	na
Masdar	NC_018120.1	Termitoidae	na
Copfor	NC_015800.1	Termitoidae	na
Perbru	NC_039940.1	Blattidae	na
Blager	NC_012901.1	Ectobiidae	na
Dippun	NC_082459.1	Blaberidae	na
Eupsin	NC_014274.1	Corydiidae	na
Crymer	NC_037496.1	Cryptocercidae	na
