Species	AN	Name	Code	Zooregion
Gonypeta_brunneri	NC_086831.1	Gonbru	AS	6
Gonypeta_sp.	OM177664.1	Gonspe	AS	11
Haania_sp.	KY689130.1	Haaspe	AS	11_12
Haania_vitalisi	KX434845.1	Haavit	AS	11
Hestiasula_hoffmanni	KX434859.1	Heshof	AS	11
Hestiasula_sp.	KX091855.1	Hesspe	AS	11
Heterochaeta_sp.	KX434823.1	Hetspe	AF-AS	7_9
Hierodula_chinensis	NC_065745.1	Hiechi	AS	11_6
Hierodula_formosana	NC_029326.1	Hiefor	AS	11_6
Hierodula_latipennis	NC_086819.1	Hielat	AS	11
Hierodula_longa	OK542392.1	Hielon	AS	11_6
Hierodula_maculata	NC_065758.1	Hiemac	AS	6
Hierodula_majuscula	KX434819.1	Hiemaj	AUS	14
Hierodula_membranacea	NC_048984.1	Hiemem	AS	11
Hierodula_multispina	KX434830.1	Hiemul	AS-OCE-AM-EU	5_11_12_15_6
Hierodula_patellifera	NC_034283.1	Hiepat	AS-OCE-AM-EU	5_11_12_15_6
Hierodula_sp.	OL414959.1	Hiespe	EU-AS-AUS	5_11_12_14_13_15_6
Hierodula_sp._2	MW357298.1	Hiespe2	EU-AS-AUS	5_11_12_14_13_15_6
Hierodula_zhangi	NC_065746.1	Hiezha	AS	6
Hierodulella_sp.	KY689136.1	Hiedul	AS-AUS	12
Humbertiella_nada	NC_030264.1	Humnad	AS	11
Humbertiella_nada_2	KX434857.1	Humnad2	AS	11
Hymenopus_coronatoides	MG888449.1	Hymcor	AS	11
Hymenopus_coronatus	KX434861.1	Hymcor	AS	11
Idolomantis_diabolica	KX434864.1	Idodia	AF	7
Idolomorpha_lateralis	KX434824.1	Idolat	AF	7_9
Iris_polystictica	KX434820.1	Iripol	EU-AS	5
Leptomantella_albella	NC_024028.1	Lepalb	AS	11
Leptomantella_lactea	MG888453.1	Leplac	AS	11
Leptomantella_sp.	OM202571.1	Lepspe	AS	11_6
Leptomantella_tonkinae	OK480879.1	Lepton	AS	11_6
Majangella_moultoni	PP072306.1	Majmou	AS	11
Mantis_religiosa	NC_030265.1	Manrel	AF-AS-EU-AM	1_5_7_11_12_6
Mekongomantis_quinquespinosa	MN267041.1	Mekqui	AS	11
Mesopteryx_alata	MW357300.1	Mesala	AS	11_6
Mesopteryx_alata_2	KX434813.1	Mesala2	AS	11_6
Metallyticus_sp.	KX434871.1	Metspe	AS	11
Metallyticus_splendidus	MG888455.1	Metspl	AS	11
Miomantis_caffra	KX434808.1	Miocaf	AM-AF-AUS	1_7_14_16
Miromantis_sp.	OM202562.1	Mirspe	AS	11
Miromantis_yunnanensis	KX434810.1	Miryun	AS	11
Neodanuria_bolauana	KX434858.1	Neobol	AF	7
Odontomantis_sp.	PP072307.1	Odospe	AS	11_12_6
Orthodera_ministralis	KX434842.1	Ortmin	AUS	14
Otomantis_scutigera	NC_086621.1	Otoscu	AF	7
Otomantis_sp.	KX434856.1	otomaOtospe	AF	7
Pachymantis_bicingulata	NC_069811.1	Pacbic	AS	11
Panurgica_fratercula	PP438770.1	Panfra	AF	7_9
Parablepharis_kuhlii	KY689117.1	Parkuh	AS	11
Parablepharis_kuhlii_asiatica	MG888456.1	Parkuhasi	AS	11
Parasphendale_agrionina	NC_066978.1	Paragr	AF	7
Paratoxodera_gigliotosi	MG888457.1	Pargig	AS	11
Paratoxodera_polyacantha	NC_037697.1	Parpol	AS	11
Parymenopus_davisoni	KX434870.1	Pardav	AS	11
