AN	Species	Wings	Male	Female	Dimorphism	Photos_Male	Photos_Female
NC_069809.1	Citharomantis_falcata	M	M	M	no	https://www.inaturalist.org/observations/259882750_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003538_Citharomantis_falcata_F_DH_100mm_1	2.jpg_"
KX434867.1	Creobroter_apicalis	M	M	M	no	https://www.inaturalist.org/observations/193382978_	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_apicalis_Holotype_F_DH_50mm_1	2.jpg_"
KX091851.1	Creobroter_elongata	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_elongata_Type_M_DH_50mm_1	2_F5.jpg"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Creobroter_elongata_Type_F_DH_50mm_1	2_F5.jpg_"
NC_030267.1	Creobroter_gemmatus	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003909_DH_50mm_1	2.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003984_DH_50mm_1	2.jpg_"
NC_037234.1	Creobroter_jiangxiensis	M	M	M	no	https://www.inaturalist.org/observations/252287680_	https://www.inaturalist.org/observations/242904158_
MW222469.1	Creobroter_sp.	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005245_DH_M_50mm_1	2.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005246_DH_M_50mm_1	2.jpg_"
KX434844.1	Decimiana_sp.	M	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Acanthops_bolivari_Syntype_F_DH_100mm_1	2x_F5.jpg_"	
KX434834.1	Deroplatys_desiccata	M	M	M	no	https://www.inaturalist.org/taxa/548630-Deroplatys-desiccata/browse_photos_	..
KY689113.1	Deroplatys_desiccata_2	M	M	M	no	https://www.inaturalist.org/taxa/548630-Deroplatys-desiccata/browse_photos_	..
KX434850.1	Deroplatys_lobata	M	M	M	no	https://www.inaturalist.org/taxa/639234-Deroplatys-lobata/browse_photos_	..
NC_069810.1	Deroplatys_truncata	M	M	M	no	https://www.inaturalist.org/taxa/577907-Deroplatys-truncata/browse_photos_	
KX434825.1	Empusa_pennicornis	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC003963_Empusa_sp_M_DH_50mm_1	4.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Empusa_sp(Kenya)_F_DH_50mm_1	4.jpg_"
NC_037208.1	Eomantis_yunnanensis	M	M	M	no	https://www.inaturalist.org/taxa/1097249-Eomantis-yunnanensis/browse_photos_	..
MK400676.1	Eremiaphila_sp.	B	B	B	B	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC005620_Eremiaphila_sp_M_DH_100mm_1	1.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC006271_Eremiaphila_sp_F_DH_100mm_1	1.jpg_"
NC_077478.1	Galinthias_amoena	M	M	M	no	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/GSMC004701_Galinthias_F_DH_100mm_1	1.5.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/Galinthias_amoena_F_DH_100mm_1	1.5.jpg_"
KX434815.1	Gongylus_gongylodes	M	M	B	yes	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT01073143_Gongylus_gongyloides_M_DH_50mm_1	4.jpg_"	"https://storage.googleapis.com/august-storm-400414.appspot.com/MantID_assets/USNMENT_Gongylus_gongyloides_F_DH_50mm_1	4.jpg"
