AN	Species	Wings	Male	Female	Dimorphism	Source
MW357300.1	Mesopteryx_alata	M	M	M	no	https://www.researchgate.net/publication/362278553_Illustrated_description_of_the_mantis_Mesopteryx_platycephala_Mantodea_Mantidae_collected_from_West_Bengal_India
KX434813.1	Mesopteryx_alata_2	M	M	M	no	https://www.researchgate.net/publication/362278553_Illustrated_description_of_the_mantis_Mesopteryx_platycephala_Mantodea_Mantidae_collected_from_West_Bengal_India
KX434871.1	Metallyticus_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
MG888455.1	Metallyticus_splendidus	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+systematics+of+Mantodea+revisited%3A+an+updated+classification+incorporating+multiple+data+sources+%28Insecta%3A+Dictyoptera%29&btnG=
KX434808.1	Miomantis_caffra	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Citizen+scientists+track+a+charismatic+carnivore%3A+Mapping+the+spread+and+impact+of+the+South+African+Mantis+%28Miomantidae%2C+Miomantis+caffra%29+in+Australia&btnG=
OM202562.1	Miromantis_sp.	M	M	M	no	https://www.inaturalist.org/taxa/749501-Miromantis-yunnanensis/browse_photos
KX434810.1	Miromantis_yunnanensis	M	M	M	no	https://www.inaturalist.org/taxa/749501-Miromantis-yunnanensis/browse_photos
KX434858.1	Neodanuria_bolauana	M	M	na	na	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=An+annotated+type+catalogue+of+praying+mantises+%28Mantodea%29++in+the+Zoological+Museum+Hamburg+%28ZMH%29&btnG=
PP072307.1	Odontomantis_sp.	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=RECORDS+OF+PRAYING+MANTIDS+%28INSECTA%3A+MANTODEA%29+FROM+TWO+AREAS+OF+CENTRAL+KALIMANTAN%2C+AND+NOTES+ON+BORNEAN++ODONTOMANTIS+AND+HIERODULA&btnG=
KX434842.1	Orthodera_ministralis	B	M	B	yes	https://grasslands.ecolinc.vic.edu.au/fieldguide/fauna/garden-mantis#details
NC_086621.1	Otomantis_scutigera	M	M	M	no	https://theprayingmantis.co.uk/product/otomantis-scutigera-african-boxer-mantis-3rd-instar-1-x-nymph/
KX434856.1	Otomantis_sp.	M	M	M	no	https://theprayingmantis.co.uk/product/otomantis-scutigera-african-boxer-mantis-3rd-instar-1-x-nymph/
NC_069811.1	Pachymantis_bicingulata	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=R%C3%A9vision+du+genre+Pachymantis+Saussure%2C+1871++%28Mantodea%2C+Hymenopodidae%29&btnG=
PP438770.1	Panurgica_fratercula	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=The+type+material+of+Mantodea+%28praying+mantises%29+deposited+in+the+National+Museum+of+Natural+History%2C++Smithsonian+Institution%2C+USA&btnG=
KY689117.1	Parablepharis_kuhlii	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Contribution+%C3%A0+la+connaissance+du+genre+Parablepharis++Saussure%2C+1870+%28Mantodea%29%2B&btnG=
MG888456.1	Parablepharis_kuhlii_asiatica	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Contribution+%C3%A0+la+connaissance+du+genre+Parablepharis++Saussure%2C+1870+%28Mantodea%29%2B&btnG=
NC_066978.1	Parasphendale_agrionina	B	M	B	yes	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Yager+DD%2C+May+ML.+1990.+Ultrasound-triggered%2C+flight-gated+evasive+maneuvers+in+the+praying+mantis%2C+Parasphendale+agrionina+Gerst..+II.+Tethered+flight.+J+Exp+Biol+152%3A41%E2%80%9358.&btnG=
MG888457.1	Paratoxodera_gigliotosi	M	M	M	no	https://www.researchgate.net/publication/363493732_New_records_of_Toxoderid_species_Dictyoptera_Mantodea_Toxoderidae_from_Thailand
NC_037697.1	Paratoxodera_polyacantha	M	M	M	no	https://www.researchgate.net/publication/363493732_New_records_of_Toxoderid_species_Dictyoptera_Mantodea_Toxoderidae_from_Thailand	
KX434870.1	Parymenopus_davisoni	M	M	M	no	https://scholar.google.com/scholar?hl=it&as_sdt=0%2C5&q=Parymenopus+davisoni+Wood-Mason+synonym+of+Helvia+cardinalis++St%C3%A5l+%28Insecta%3A+Mantodea%3A+Hymenopodidae%29&btnG=
