Code    AN      Family  Subfamily       Species	wing	Source
Hielon	OK542392.1	Mantidae	Hierodulinae	Hierodula_longa	macrottera
Hiemac	NC_065758.1	Mantidae	Hierodulinae	Hierodula_maculata	macrottera
Hiemaj	KX434819.1	Mantidae	Hierodulinae	Hierodula_majuscula	macrottera
Hiemem	NC_048984.1	Mantidae	Hierodulinae	Hierodula_membranacea	macrottera
Hiemul	KX434830.1	Mantidae	Hierodulinae	Hierodula_multispina	macrottera
Hiepat	NC_034283.1	Mantidae	Hierodulinae	Hierodula_patellifera	macrottera
Hiespe	OL414959.1	Mantidae	Hierodulinae	Hierodula_sp.	macrottera
Hiespe2	MW357298.1	Mantidae	Hierodulinae	Hierodula_sp._2	macrottera
Hiezha	NC_065746.1	Mantidae	Hierodulinae	Hierodula_zhangi	macrottera
Hiedul	KY689136.1	Mantidae	Hierodulinae	Hierodulella_sp.	macrottera
Humnad	NC_030264.1	Gonypetidae	Gonypetinae	Humbertiella_nada	m(macrotteri)
Humnad2	KX434857.1	Gonypetidae	Gonypetinae	Humbertiella_nada_2	m(macrotteri)
Hymcor	MG888449.1	Hymenopodidae	Hymenopodinae	Hymenopus_coronatoides	macrottera
Hymcor	KX434861.1	Hymenopodidae	Hymenopodinae	Hymenopus_coronatus	macrottera
Idodia	KX434864.1	Empusidae	Blepharodinae	Idolomantis_diabolica	macrottera
Idolat	KX434824.1	Empusidae	Empusinae	Idolomorpha_lateralis	macrottera
Iripol	KX434820.1	Eremiaphilidae	Iridinae	Iris_polystictica	m(macrotteri)-f(brachittere)
Lepalb	NC_024028.1	Leptomantellidae	na	Leptomantella_albella	macrottera
Leplac	MG888453.1	Leptomantellidae	na	Leptomantella_lactea	macrottera
Lepspe	OM202571.1	Leptomantellidae	na	Leptomantella_sp.	macrottera
Lepton	OK480879.1	Leptomantellidae	na	Leptomantella_tonkinae	macrottera
Majmou	PP072306.1	Hymenopodidae	Acromantinae	Majangella_moultoni	macrottera
Manrel	NC_030265.1	Mantidae	Mantinae	Mantis_religiosa	macrottera
Mekqui	MN267041.1	Mantidae	Hierodulinae	Mekongomantis_quinquespinosa	macrottera
Mesala	MW357300.1	Mantidae	Tenoderinae	Mesopteryx_alata	macrottera
Mesala2	KX434813.1	Mantidae	Tenoderinae	Mesopteryx_alata_2	macrottera
Metspe	KX434871.1	Metallyticidae	na	Metallyticus_sp.	macrottera
Metspl	MG888455.1	Metallyticidae	na	Metallyticus_splendidus	macrottera
Miocaf	KX434808.1	Miomantidae	Miomantinae	Miomantis_caffra	m(macrotteri)-f(brachittere)
Mirspe	OM202562.1	Nanomantidae	Nanomantinae	Miromantis_sp.	macrottera
Miryun	KX434810.1	Nanomantidae	Nanomantinae	Miromantis_yunnanensis	macrottera
Neobol	KX434858.1	Deroplatyidae	Popinae	Neodanuria_bolauana	m(macrotteri)
Odospe	PP072307.1	Hymenopodidae	Hymenopodinae	Odontomantis_sp.	nacrottera
Ortmin	KX434842.1	Mantidae	Orthoderinae	Orthodera_ministralis	m(macrotteri)-f(brachittere)
Otoscu	NC_086621.1	Hymenopodidae	Acromantinae	Otomantis_scutigera	macrottera
otomaOtospe	KX434856.1	Hymenopodidae	Acromantinae	Otomantis_sp.	macrottera
Pacbic	NC_069811.1	Hymenopodidae	Oxypilinae	Pachymantis_bicingulata	macrottera
Panfra	PP438770.1	Hymenopodidae	Hymenopodinae	Panurgica_fratercula	m(macrotteri)-f(brachittere)
Parkuh	KY689117.1	Hymenopodidae	Phyllothelyinae	Parablepharis_kuhlii	m(macrotteri)-f(brachittere)
Parkuhasi	MG888456.1	Hymenopodidae	Phyllothelyinae	Parablepharis_kuhlii_asiatica	m(macrotteri)-f(brachittere)
Paragr	NC_066978.1	Miomantidae	Miomantinae	Parasphendale_agrionina m(macrotteri)-f(brachittere)
Pargig	MG888457.1	Toxoderidae	Toxoderinae	Paratoxodera_gigliotosi	macrottera
Parpol	NC_037697.1	Toxoderidae	Toxoderinae	Paratoxodera_polyacantha	macrottera
Pardav	KX434870.1	Hymenopodidae	Hymenopodinae	Parymenopus_davisoni	macrottera
Phypar	NC_086795.1	Hymenopodidae	Phyllocraniinae	Phyllocrania_paradoxa	m(macrotteri)-f(brachittere)
Phybre	NC_086622.1	Hymenopodidae	Phyllothelyinae	Phyllothelys_breve	macrottera
